,question,ground_truth,score,answer
0,What is the vision of NETSOL Technologies Limited?,"To become the leading and world-class provider of IT solutions and services in each market of operations by leveraging global positioning, creating strong growth potential, increasing shareholder value, and providing a great environment for employees.",1.077374901067317e-231,"Based on the provided sources, the vision of NETSOL Technologies Limited is not explicitly stated. However, it can be inferred from the information provided in Source 3 that the company's future plans and goals are centered around:

1. Staying attuned to market trends and continuously refining its solutions to meet changing demands.
2. Sustaining growth, providing substantial value to stakeholders, and upholding its position as a leading technology provider to the global asset finance and leasing industry.
3. Seizing emerging opportunities and effectively implementing strategic initiatives.
4. Adhering to its core values of innovation, adaptability, and customer focus.

In other words, the vision of NETSOL Technologies Limited appears to be focused on remaining a leading player in the global asset finance and leasing industry by staying ahead of the curve, innovating, and delivering value to its customers and stakeholders."
1,What are the main certifications achieved by NETSOL?,"NETSOL has been audited for ISO 27001, ISO 20000, and ISO 9001 certifications and achieved SOC 2 Type 2 compliance.",0.03288061410280198,"Based on the provided sources, NETSOL has achieved the following certifications related to information security and software measurement programs:

1. **SOC 2 Type 1 and Type 2 compliance**: NETSOL has successfully achieved SOC 2 Type 1 and Type 2 compliance through a global audit firm, A-LIGN. This certification is issued by the American Institute of Certified Public Accountants (AICPA) and confirms that all system requirements have been met in accordance with the security standards set by the AICPA.

Note that there is no mention of other specific certifications related to information security or software measurement programs in the provided sources."
2,What are the core products offered by NETSOL?,"The core products are Ascent (a platform for asset finance and leasing), NFS Digital (digital finance ecosystem), and Appex Now (API-first marketplace for finance and leasing).",0.024532562569399417,"Based on the provided sources, the main solutions offered by NETSOL Technologies in the asset finance and leasing industry are:

1. **Ascent**: A cutting-edge platform for asset finance and leasing that enables auto, equipment, and big-ticket finance companies, alongside banks, to run their retail and wholesale finance business seamlessly.
2. **NFS Digital**: An ecosystem that augments and enhances finance and leasing operations, enabling organizations to reap the benefits of going digital. It leverages the benefits of superior digital solutions across various touchpoints, which can be integrated with any back-end system.
3. **Appex Now**: The world's first marketplace for the global credit, finance, and leasing industry, providing a suite of cloud-based API-first products that cater to a broad spectrum of needs.
4. **API-first strategy**: Enhances development efficiency, reduces complexity, mitigates risk, and facilitates integration with diverse systems and platforms.
5. **Digital transformation solutions**: NETSOL takes pride in being the pioneer organization to provide a full suite of digital transformation solutions for the global asset finance and leasing industry.

These solutions are designed to help finance and leasing companies navigate the complex and dynamic landscape of the financial services sector, driven by technological advancements, regulatory changes, and shifting market demands."
3,What services does NETSOL provide?,"NETSOL provides professional services, cloud services, AI solutions, IT consulting, application development and maintenance, business process outsourcing, and more.",2.1015446277947888e-155,"Based on the provided sources, NETSOL provides the following services to its clients:

1. Tailored solutions: NETSOL tailors its solutions to meet the specific needs of its clients, leveraging data analytics and AI to understand customer behavior, preferences, and pain points.
2. Integrated technology solutions: NETSOL provides comprehensive, integrated solutions that address multiple business needs, offering seamless connectivity and interoperability.
3. Customized solutions: By understanding customer preferences and delivering customized solutions, NETSOL drives its success and enhances customer satisfaction.
4. Research and Development (R&D) services: NETSOL invests in R&D to stay ahead of technological advancements and develop cutting-edge solutions.
5. Strategic partnerships: NETSOL fosters strategic partnerships to enhance its capabilities and market presence.

These services are designed to help clients navigate the complexities of the financial services sector, which is undergoing rapid evolution driven by technological advancements, regulatory changes, and shifting market demands."
4,What is Project Optimus at NETSOL?,Project Optimus is NETSOL's initiative to develop advanced AI solutions to enhance internal software development processes and drive innovation.,0.026989713590422824,"Based on the provided sources, Project Optimus is an initiative by NETSOL Technologies Limited to enhance its internal software development processes by harnessing advanced AI technologies. The project aims to drive innovation, optimize existing offerings, and deliver top-tier solutions that meet the evolving needs of clients.

According to the sources, Project Optimus is designed to make internal software development processes more efficient and effective by leveraging AI technologies. This strategic focus on AI will elevate internal capabilities and ensure that NETSOL continues to deliver exceptional solutions to clients.

The project is part of NETSOL's overall commitment to AI initiatives, which includes building a solid foundation in AI and ML over the past two years. The company has developed and integrated AI solutions that deliver genuine value and efficiency, and has already yielded successful proof-of-concepts within the organization.

As part of Project Optimus, NETSOL is also extending its expertise to clients embarking on AI journeys, positioning the company as a leader in AI initiatives by proactively setting the standard rather than following market trends."
5,Who is the Chairman of NETSOL Technologies?,Naeem Ullah Ghauri is the Chairman of NETSOL Technologies.,0.21972813874997157,"According to the sources provided, the Chairman of NETSOL Technologies is Naeem Ullah Ghauri."
6,Which new product developed by NETSOL targets the digital auto retail market?,"Otoz, a fully digital white-label platform for digital auto retail and mobility orchestration.",2.101889569428303e-78,"Based on the provided context, the new product developed by NETSOL that targets the digital auto retail market is Ascent."
7,What awards has NETSOL Technologies won?,NETSOL has won the CSR Gold Award and Gender Diversity Merit Award by P@SHA and the Gold Award for IT Products and Solutions by PSEB.,0.10575869263427094,"According to the provided sources, NETSOL Technologies has won the following awards:

1. ""CSR Gold Award"" by P@SHA (Pakistan Software Export Board)
2. ""Gender Diversity Merit Award"" by P@SHA (Pakistan Software Export Board)
3. ""Gold Award for IT Products and Solutions"" in an event held in collaboration with Pakistan Software Export Board (PSEB) & P@SHA"
8,Which regions does NETSOL primarily focus its marketing efforts?,NETSOL focuses its marketing efforts in North America and European regions.,0.02896934119808347,"According to the provided sources, NETSOL primarily focuses its marketing efforts in the following regions:

1. North America: As mentioned in Sources 1 and 2, NETSOL participated in various events in the United States and Canada, including the ELFA Operations and Technology Conference, AFSA Annual Meeting, ELFA Annual Convention, Auto Finance Summit, and Open Silicon Valley Conference.
2. Europe: Although not explicitly mentioned in the provided sources, it is likely that NETSOL also has a presence in Europe, given its commitment to sustainability and focus on global market presence.

Note that there is no specific mention of the Asia-Pacific (APAC) region in the provided sources, but it is possible that NETSOL has a presence or marketing efforts in this region as well, given its global reach and commitment to sustainability."
9,What is the proposed cash dividend for the fiscal year 2023-2024?,"The proposed cash dividend is 30%, i.e., Rs. 3 per share.",0.16591958445638164,"According to the provided sources (Annual Report 2024), the proposed cash dividend for the fiscal year 2023-2024 is a final cash dividend of 30% i.e. Rs. 3 per share."
10,What is the total revenue from contracts for 2024?,"The total revenue from contracts with customers for 2024 is Rs. 9,280,647,000.",0.6525452579142078,"According to Source 3, the total revenue from contracts with customers for 2024 is Rs. 9,280,647."
